Title,VOD service name,Rating
Nimona,NETFLIX,"7,36"
Fenomen,NETFLIX,"7,29"
Zaopiekujcie się Mayą,NETFLIX,"7,08"
Bill Russell: Legenda NBA,NETFLIX,"7,04"
Wham!,NETFLIX,"6,99"
Jesteśmy idealni,NETFLIX,"6,78"
Stan Lee,DISNEY+,"6,76"
"Na planie serialu ""The Last of Us""",HBO MAX,"6,70"
Ślicznotka: Historia Brooke Shields,DISNEY+,"6,69"
Głodni,NETFLIX,"6,63"
Magiczna słonica,NETFLIX,"6,61"
Siła ducha,NETFLIX,"6,59"
Black Clover: Mahō Tei no Ken,NETFLIX,"6,51"
Dusiciel z Bostonu,DISNEY+,"6,22"
Ulica Rye Lane,DISNEY+,"6,21"
Flamin' Hot: Smak sukcesu,DISNEY+,"6,18"
Przerwany lot,CANAL+,"6,06"
Martwe zło: Przebudzenie,HBO MAX,"6,01"
Misja: Bal,DISNEY+,"6,00"
Mumie,HBO MAX,"5,87"
Najlepszy rzut Changa,DISNEY+,"5,67"
Ant-Man i Osa: Kwantomania,DISNEY+,"5,56"
Shazam! Gniew bogów,HBO MAX,"5,55"
Biali nie potrafią skakać,DISNEY+,"5,37"
Klub zabójców,CANAL+,"5,08"
Magic Mike: Ostatni taniec,HBO MAX,"4,93"
Quasi,DISNEY+,"4,91"
Domówka,HBO MAX,"4,26"
Zabójca,CANAL+,"4,04"
